track_id,old_artist,old_title,new_artist,new_title,change_kind,state_policy
479,山崎まさよし,"One more time, One more chance",山崎まさよし,中華料理,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
480,斉藤和義,歌うたいのバラッド,斉藤和義,幸福な朝食 退屈な夕食,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
483,THE BLUE HEARTS,リンダ リンダ,THE BLUE HEARTS,月の爆撃機,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
486,REBECCA,フレンズ,REBECCA,MOON,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
487,PRINCESS PRINCESS,M,PRINCESS PRINCESS,OH YEAH!,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
488,渡辺美里,My Revolution,渡辺美里,BELIEVE,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
489,小泉今日子,あなたに会えてよかった,小泉今日子,Fade Out,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
491,米米CLUB,浪漫飛行,米米CLUB,sure danse,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
492,CHAGE and ASKA,SAY YES,CHAGE and ASKA,WALK,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
493,DREAMS COME TRUE,未来予想図II,DREAMS COME TRUE,眼鏡越しの空,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
494,久保田利伸,LA・LA・LA LOVE SONG,久保田利伸,流星のサドル,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
496,宇多田ヒカル,Automatic,宇多田ヒカル,Letters,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
497,浜崎あゆみ,SEASONS,浜崎あゆみ,WHATEVER,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
500,モーニング娘。,LOVEマシーン,モーニング娘。,Memory 青春の光,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
501,ポルノグラフィティ,アポロ,ポルノグラフィティ,ヒトリノ夜,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
502,Do As Infinity,深い森,Do As Infinity,Oasis,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
503,hitomi,LOVE 2000,hitomi,by myself,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
506,椎名林檎,ここでキスして。,Luminous Orange,walkblind,edge_reassign+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
511,THE BOOM,島唄,THE BOOM,中央線,deeper_same_artist+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
568,椎名林檎,本能,54-71,Life,edge_reassign+group_base_minus2,RESET_TO_STANDARD_INITIAL_TRACK_STATE
1542,Cocco,強く儚い者たち,COALTAR OF THE DEEPERS,My Speedy Sarah,edge_reassign,RESET_TO_STANDARD_INITIAL_TRACK_STATE
1543,Cocco,Raining,PEALOUT,爆裂世界 ～世界に追い越されても～,edge_reassign,RESET_TO_STANDARD_INITIAL_TRACK_STATE
1199,椎名林檎,ありあまる富,Acid Mothers Temple & The Melting Paraiso U.F.O.,Pink Lady Lemonade,edge_reassign_extra_artist_trim,RESET_TO_STANDARD_INITIAL_TRACK_STATE
1545,Cocco,水鏡,Susumu Yokota,Saku,edge_reassign_extra_artist_trim,RESET_TO_STANDARD_INITIAL_TRACK_STATE
