track_id,artist,title,base_strength,emo,popularity,hachijo_fit,oddity,stickiness,volatility,enabled,release_year,freshness_bonus
28,トリプルファイヤー,次やったら殴る,75,77,32,77,59,74,72,1,,0.0
29,ラッキーオールドサン,ミッドナイト・バス,70,89,26,62,54,61,53,1,,0.0
30,カネコアヤノ,祝日,75,91,40,72,53,74,59,1,,0.0
31,きのこ帝国,金木犀の夜,75,74,23,72,56,66,60,1,,0.0
32,cero,Summer Soul,73,76,28,77,58,67,53,1,,0.0
33,ミツメ,エスパー,76,80,28,64,68,75,70,1,,0.0
34,Homecomings,HURTS,71,83,23,59,59,70,54,1,,0.0
35,Yogee New Waves,CLIMAX NIGHT,75,89,39,72,56,59,62,1,,0.0
36,never young beach,明るい未来,75,85,38,62,62,58,60,1,,0.0
37,Tempalay,革命前夜,78,86,38,77,50,57,65,1,,0.0
38,羊文学,1999,77,87,31,68,56,67,60,1,,0.0
39,BiSH,オーケストラ,70,80,37,67,62,66,55,1,,0.0
40,CHAI,N.E.O.,66,75,34,67,48,56,60,1,,0.0
41,DYGL,Let It Out,73,75,25,64,55,75,52,1,,0.0
42,D.A.N.,Native Dancer,73,93,37,66,55,72,59,1,,0.0
43,Suchmos,MINT,75,78,28,74,68,62,57,1,,0.0
44,LUCKY TAPES,MOON,69,79,31,73,59,75,61,1,,0.0
45,SIRUP,Loop,78,89,30,69,48,67,54,1,,0.0
46,iri,Wonderland,76,89,27,78,56,73,63,1,,0.0
47,yonawo,tokyo,78,92,35,66,64,59,72,1,,0.0
48,TENDRE,DOCUMENT,72,80,38,64,55,67,65,1,,0.0
49,STUTS,Mirrors,69,78,25,63,61,76,56,1,,0.0
50,PUNPEE,タイムマシーンにのって,70,86,40,69,48,61,63,1,,0.0
51,KID FRESINO,Salve,76,87,35,73,48,72,54,1,,0.0
52,BIM,Bonita,71,76,22,78,68,69,53,1,,0.0
53,chelmico,Easy Breezy,65,82,32,60,58,70,69,1,2020,0.5
54,スカート,静かな夜がいい,76,86,41,78,59,61,60,1,,0.0
55,柴田聡子,後悔,75,75,40,75,62,66,69,1,,0.0
56,折坂悠太,朝顔,74,92,36,73,68,60,69,1,,0.0
57,君島大空,遠視のコントラルト,72,83,29,67,65,73,61,1,,0.0
58,崎山蒼志,五月雨,66,91,37,61,59,61,54,1,,0.0
59,青葉市子,いきのこり●ぼくら,66,83,35,61,53,58,54,1,,0.0
60,mei ehara,最初の日は,77,92,31,76,60,59,58,1,,0.0
61,角銅真実,Lullaby,70,83,42,73,65,61,71,1,,0.0
62,浮,つきひ,69,73,22,71,62,64,68,1,,0.0
63,寺尾紗穂,楕円の夢,71,82,34,64,53,71,59,1,,0.0
64,前野健太,東京の空,75,83,22,58,57,76,58,1,,0.0
65,さよならポニーテール,空も飛べるはず,65,83,24,66,48,56,62,1,,0.0
66,相対性理論,LOVEずっきゅん,75,79,40,77,56,68,63,1,,0.0
67,やくしまるえつこ,ヴィーナスとジーザス,71,90,30,61,65,69,69,1,,0.0
68,パスピエ,トロイメライ,68,84,33,71,52,60,72,1,,0.0
69,水曜日のカンパネラ,桃太郎,71,79,23,70,49,76,66,1,,0.0
70,森は生きている,光の蠱惑,79,76,30,71,50,75,59,1,,0.0
71,VIDEOTAPEMUSIC,世界各国の夜,75,91,37,75,67,67,57,1,,0.0
72,Alfred Beach Sandal,Fugue State,71,93,24,68,48,62,54,1,,0.0
73,思い出野郎Aチーム,ダンスに間に合う,76,92,30,76,63,73,53,1,,0.0
74,YOUR SONG IS GOOD,THE LOVE SONG,72,76,36,67,62,75,71,1,,0.0
75,キセル,ハナレバナレ,70,79,22,77,51,56,70,1,,0.0
76,Polaris,深呼吸,70,90,40,74,63,69,64,1,,0.0
77,clammbon,Re-雨,68,82,41,70,54,62,70,1,,0.0
78,七尾旅人,サーカスナイト,73,89,24,67,51,69,58,1,,0.0
79,奇妙礼太郎,君が誰かの彼女になりくさっても,71,82,39,74,58,66,72,1,,0.0
80,王舟,Thailand,77,81,35,72,52,61,69,1,,0.0
81,トクマルシューゴ,Rum Hee,73,88,22,61,52,58,67,1,,0.0
82,mei semones,Kabutomushi,70,78,37,58,54,62,53,1,2024,1.5
83,betcover!!,NOBORU,76,91,31,63,65,59,59,1,,0.0
84,GEZAN,萃点,70,87,34,75,62,64,72,1,2020,0.5
85,ドミコ,こんなのおかしくない？,76,83,32,61,58,71,54,1,,0.0
86,Helsinki Lambda Club,TVHBD,73,93,23,70,56,68,63,1,,0.0
87,odol,生活,74,73,39,78,60,69,72,1,,0.0
88,Laura day romance,sad number,78,82,34,77,63,75,72,1,,0.0
89,For Tracy Hyde,Underwater Girl,68,77,42,77,68,59,69,1,,0.0
90,Luby Sparks,Thursday,67,83,23,59,49,59,54,1,,0.0
91,DYINGDAY,Out of Blue,75,84,23,60,55,68,65,1,,0.0
92,NOT WONK,Down the Valley,73,82,42,69,51,60,71,1,,0.0
93,No Buses,Pretty Old Man,70,74,22,76,64,74,70,1,,0.0
94,KOTORI,EVERGREEN,76,87,39,58,58,68,61,1,,0.0
95,リーガルリリー,リッケンバッカー,78,92,23,74,66,72,55,1,,0.0
96,"Lucie,Too",Lucky,73,92,39,77,64,73,60,1,,0.0
97,teto,高層ビルと人工衛星,70,90,36,62,57,69,70,1,,0.0
98,PK shampoo,京都線,71,73,36,63,67,64,63,1,,0.0
99,時速36km,七月七日通り,70,85,39,77,62,56,55,1,,0.0
100,ズーカラデル,生活,73,85,24,76,50,68,72,1,,0.0
101,浪漫革命,愛は1/2,74,78,41,64,49,65,60,1,,0.0
102,BREIMEN,IWBYL,76,82,42,63,55,73,53,1,2020,0.5
103,AAAMYYY,Leeloo,75,90,31,72,56,72,56,1,2020,0.5
104,TAMTAM,Worksong! Feat.鎮座DOPENESS,72,79,22,61,61,61,56,1,,0.0
105,Emerald,ふれたい光,67,74,31,64,67,72,55,1,,0.0
106,Nulbarich,NEW ERA,78,92,33,64,53,60,56,1,,0.0
107,MONKEY MAJIK,Around The World,72,85,40,76,54,74,54,1,,0.0
108,おとぎ話,EARTHBOUND,67,76,26,64,59,73,71,1,,0.0
109,アカシック,今日から夜は家にいるよ,70,90,36,64,61,69,69,1,,0.0
110,乙女絵画,軛,77,87,35,64,57,67,65,1,,0.0
111,シャムキャッツ,Coyote,69,73,41,69,59,56,62,1,,0.0
112,台風クラブ,処暑,77,77,30,72,49,64,64,1,,0.0
113,家主,オープンカー,72,85,32,71,62,61,56,1,2021,0.5
114,踊ってばかりの国,ghost,71,74,41,78,62,57,70,1,2021,0.5
115,トリプルファイヤー,トラックに轢かれた,71,87,33,77,62,71,67,1,,0.0
116,ラッキーオールドサン,坂の多い町と退屈,73,90,30,76,61,56,72,1,,0.0
117,カネコアヤノ,光の方へ,74,81,28,65,48,76,65,1,,0.0
118,きのこ帝国,クロノスタシス,70,90,36,58,65,70,65,1,,0.0
119,cero,Orphans,68,80,34,76,57,58,58,1,,0.0
120,ミツメ,セダン,68,83,25,59,49,76,69,1,,0.0
121,Homecomings,Blue Hour,72,83,24,70,49,65,52,1,,0.0
122,Yogee New Waves,Bluemin' Days,68,87,22,65,55,62,63,1,,0.0
123,never young beach,お別れの歌,71,74,27,65,57,58,60,1,,0.0
124,Tempalay,そなちね,78,89,29,75,59,69,53,1,,0.0
125,羊文学,光るとき,77,89,26,65,59,62,67,1,2022,1.0
126,BiSH,プロミスザスター,67,75,32,58,65,68,72,1,,0.0
127,CHAI,PINK,75,80,31,65,58,68,53,1,,0.0
128,DYGL,A Paper Dream,72,79,36,59,64,56,68,1,,0.0
129,D.A.N.,SSWB,74,77,33,71,66,76,54,1,,0.0
130,Suchmos,STAY TUNE,71,89,31,74,57,64,54,1,,0.0
131,LUCKY TAPES,Gun,75,80,26,72,61,59,68,1,,0.0
132,SIRUP,Do Well,74,78,39,62,67,63,72,1,,0.0
133,iri,rhythm,77,87,40,74,49,73,58,1,,0.0
134,yonawo,矜羯羅がる,76,82,34,64,62,71,54,1,2020,0.5
135,TENDRE,RIDE,75,87,28,66,53,56,72,1,,0.0
136,STUTS,Changes,68,79,24,71,58,56,60,1,,0.0
137,PUNPEE,お嫁においで 2015,78,76,32,73,50,65,61,1,,0.0
138,KID FRESINO,Coincidence,65,80,27,63,48,60,61,1,,0.0
139,BIM,DNA,77,79,30,66,65,72,55,1,,0.0
140,chelmico,Player,77,81,25,68,67,63,72,1,,0.0
141,スカート,CALL,71,91,40,71,50,75,59,1,,0.0
142,柴田聡子,雑感,73,82,32,58,55,65,53,1,,0.0
143,折坂悠太,平成,78,80,28,68,62,72,66,1,,0.0
144,君島大空,午後の反射光,76,89,31,66,62,70,71,1,,0.0
145,崎山蒼志,夏至,74,77,29,62,53,62,56,1,,0.0
146,青葉市子,Porcelain,74,82,41,65,61,74,68,1,2020,0.5
147,mei ehara,蓋なしの彼,75,83,26,74,67,67,70,1,,0.0
148,角銅真実,December 13,73,88,41,71,67,70,71,1,2020,0.5
149,浮,愛の話,75,79,29,59,67,72,68,1,,0.0
150,寺尾紗穂,九年,74,92,41,78,64,66,58,1,,0.0
151,前野健太,友達じゃがまんできない,67,79,39,64,50,74,72,1,,0.0
152,さよならポニーテール,新世界交響楽,79,82,36,78,49,58,64,1,,0.0
153,相対性理論,地獄先生,72,89,40,63,50,56,69,1,,0.0
154,やくしまるえつこ,ルル,73,80,36,69,56,66,65,1,,0.0
155,パスピエ,MATATABISTEP,81,92,30,73,64,75,60,1,,0.0
156,水曜日のカンパネラ,ディアブロ,68,89,34,59,68,74,62,1,,0.0
157,森は生きている,日々の泡沫,69,83,34,69,50,73,52,1,,0.0
158,VIDEOTAPEMUSIC,Kung-Fu Mambo,71,78,23,65,54,58,64,1,,0.0
159,Alfred Beach Sandal,One Day Calypso,72,88,34,63,49,68,55,1,,0.0
160,思い出野郎Aチーム,ステップ,71,77,37,60,51,56,52,1,,0.0
161,YOUR SONG IS GOOD,あいつによろしく,77,78,23,76,52,71,64,1,,0.0
162,キセル,くちなしの丘,72,84,32,74,50,60,68,1,,0.0
163,Polaris,光と影,73,93,22,71,60,64,67,1,,0.0
164,clammbon,Folklore,78,79,38,74,51,62,62,1,,0.0
165,七尾旅人,湘南が遠くなっていく,71,84,24,65,53,63,67,1,,0.0
166,奇妙礼太郎,愛の讃歌,74,86,28,74,66,75,56,1,,0.0
167,王舟,Ward,77,76,38,73,68,59,72,1,,0.0
168,トクマルシューゴ,Katachi,67,76,22,65,50,59,53,1,,0.0
169,mei semones,Wakare No Kotoba,75,76,24,63,54,62,67,1,2023,1.0
170,betcover!!,翔け夜の匂い草,74,76,38,70,55,67,72,1,,0.0
171,GEZAN,DNA,70,85,36,67,59,76,69,1,,0.0
172,ドミコ,まどろまない,73,79,25,64,66,62,63,1,2024,1.5
173,Helsinki Lambda Club,PIZZASHAKE,78,76,24,74,61,68,63,1,,0.0
174,odol,夜を抜ければ,79,74,28,77,65,72,62,1,,0.0
175,Laura day romance,透明,71,85,38,73,59,57,71,1,2024,1.5
176,For Tracy Hyde,Sister Carrie,73,73,24,76,56,68,63,1,,0.0
177,Luby Sparks,Somewhere,70,76,33,67,50,76,68,1,,0.0
178,DYINGDAY,Mist,69,79,39,77,56,67,59,1,,0.0
179,NOT WONK,Laughing Nerds And A Wallflower,78,78,42,66,55,76,57,1,,0.0
180,No Buses,Tic,68,76,29,74,66,57,52,1,,0.0
181,KOTORI,素晴らしい世界,73,84,37,73,57,61,59,1,,0.0
182,リーガルリリー,1997,76,92,23,58,50,67,62,1,,0.0
183,"Lucie,Too",キミに恋,72,82,34,67,54,63,52,1,,0.0
184,teto,拝啓,69,91,40,70,66,60,63,1,,0.0
185,PK shampoo,夜間通用口,74,79,36,67,49,60,68,1,,0.0
186,時速36km,ハロー,73,81,26,66,49,58,61,1,,0.0
187,ズーカラデル,漂流劇団,74,84,27,61,50,64,70,1,,0.0
188,浪漫革命,サマタイム,69,82,32,72,48,63,61,1,,0.0
189,BREIMEN,MUSICA,75,79,35,62,64,56,53,1,,0.0
190,AAAMYYY,HOME,75,84,39,67,49,64,72,1,2020,0.5
191,TAMTAM,Esp,66,86,23,61,49,66,63,1,,0.0
192,Emerald,東京,76,90,37,59,65,74,64,1,,0.0
193,Nulbarich,Kiss You Back,75,86,30,72,59,76,65,1,,0.0
194,MONKEY MAJIK,空はまるで,70,83,33,73,57,72,53,1,,0.0
195,おとぎ話,M,77,88,36,66,50,63,62,1,,0.0
196,アカシック,サンデイバージンディアボーイ,79,86,38,75,57,64,72,1,,0.0
197,乙女絵画,Untitled,72,75,35,66,67,57,70,1,,0.0
198,シャムキャッツ,Funny Face,73,92,37,68,48,58,58,1,,0.0
199,台風クラブ,台風銀座,75,76,41,74,66,66,65,1,,0.0
200,家主,NFP,68,83,39,72,50,65,70,1,,0.0
201,踊ってばかりの国,ほんとごめんね,71,82,24,61,49,67,53,1,,0.0
202,トリプルファイヤー,相席屋に行きたい,70,73,36,60,55,67,70,1,,0.0
203,ラッキーオールドサン,旅するギター,68,81,36,67,51,70,69,1,,0.0
204,カネコアヤノ,ロマンス宣言,70,84,26,76,49,69,62,1,,0.0
205,きのこ帝国,海と花束,66,74,35,62,59,71,62,1,,0.0
206,cero,街の報せ,69,78,42,75,61,57,52,1,,0.0
207,ミツメ,煙突,76,78,31,76,56,64,56,1,,0.0
208,Homecomings,Songbirds,73,92,37,59,49,60,71,1,,0.0
209,Yogee New Waves,World is Mine,75,90,23,75,60,75,59,1,,0.0
210,never young beach,どうでもいいけど,75,76,40,78,60,74,57,1,,0.0
211,Tempalay,続・New York City,72,90,26,67,66,72,54,1,,0.0
212,羊文学,マヨイガ,70,89,24,77,55,61,66,1,2021,0.5
213,BiSH,My landscape,78,82,26,75,54,67,72,1,,0.0
214,CHAI,アイム・ミー,74,83,32,72,55,76,52,1,,0.0
215,DYGL,Bad Kicks,70,91,25,68,62,69,70,1,,0.0
216,D.A.N.,Replica,67,75,26,61,65,66,54,1,,0.0
217,Suchmos,808,67,83,34,61,50,76,63,1,,0.0
218,LUCKY TAPES,Touch!,74,83,33,76,49,66,52,1,,0.0
219,SIRUP,Pool,72,76,36,68,51,74,64,1,,0.0
220,iri,Watashi,77,73,32,71,68,75,71,1,,0.0
221,yonawo,good job,71,90,22,69,68,70,63,1,2021,0.5
222,TENDRE,SIGN,79,81,27,73,63,72,55,1,,0.0
223,STUTS,Presence I,71,73,28,67,53,72,59,1,2021,0.5
224,PUNPEE,Scenario,69,93,35,71,60,60,65,1,,0.0
225,KID FRESINO,Cats & Dogs,76,90,40,58,54,66,64,1,,0.0
226,BIM,BUDDY,70,73,39,61,65,64,58,1,,0.0
227,chelmico,Love Is Over,74,86,22,63,54,62,54,1,,0.0
228,スカート,ストーリー,72,91,29,74,49,69,58,1,,0.0
229,柴田聡子,ぼちぼち銀河,76,81,41,62,67,69,64,1,2022,1.0
230,折坂悠太,坂道,70,75,38,60,64,74,62,1,2021,0.5
231,君島大空,向こう髪,68,92,37,61,67,66,58,1,2023,1.0
232,崎山蒼志,燈,78,74,42,76,55,72,64,1,2023,1.0
233,青葉市子,太陽さん,69,84,25,78,65,60,70,1,,0.0
234,mei ehara,不確か,68,87,33,64,49,68,64,1,2020,0.5
235,角銅真実,Lark,70,82,37,69,57,75,67,1,2020,0.5
236,浮,湯船,77,92,23,70,58,63,69,1,,0.0
237,寺尾紗穂,北へ向かう,72,74,39,76,53,73,63,1,,0.0
238,前野健太,鴨川,69,90,40,62,50,65,67,1,,0.0
239,さよならポニーテール,光る街へ,70,92,26,72,56,68,72,1,,0.0
240,相対性理論,ミス・パラレルワールド,69,87,38,69,56,59,57,1,,0.0
241,やくしまるえつこ,X次元へようこそ,75,76,42,60,58,71,56,1,,0.0
242,パスピエ,贅沢ないいわけ,68,82,36,60,61,66,53,1,,0.0
243,水曜日のカンパネラ,エジソン,68,86,25,68,55,60,63,1,2022,1.0
244,森は生きている,煙夜の夢,69,93,41,60,65,63,67,1,,0.0
245,VIDEOTAPEMUSIC,Cocktail Moon,73,90,35,62,63,56,62,1,,0.0
246,Alfred Beach Sandal,モノポリー,76,93,28,70,68,61,62,1,,0.0
247,思い出野郎Aチーム,楽しく暮らそう,76,77,30,70,60,61,66,1,,0.0
248,YOUR SONG IS GOOD,SOFT LANDING,72,75,31,71,48,68,68,1,,0.0
249,キセル,ビューティフル デイ,79,86,35,73,67,72,54,1,,0.0
250,Polaris,檸檬,67,92,34,61,49,58,66,1,,0.0
251,clammbon,サラウンド,72,74,26,61,48,68,59,1,,0.0
252,七尾旅人,Rollin' Rollin',68,88,41,58,57,75,61,1,,0.0
253,奇妙礼太郎,散る 散る 満ちる,73,89,30,62,58,73,62,1,,0.0
254,王舟,New Song,75,80,36,75,54,69,57,1,,0.0
255,トクマルシューゴ,Decorate,68,80,39,76,68,60,58,1,,0.0
256,mei semones,Inaka,72,76,28,71,61,66,66,1,2024,1.5
257,betcover!!,平和の大使,69,85,36,67,48,64,70,1,,0.0
258,GEZAN,東京,70,90,22,72,56,68,55,1,2020,0.5
259,ドミコ,ペーパーロールスター,77,91,42,62,68,76,63,1,,0.0
260,Helsinki Lambda Club,Good News Is Bad News,76,85,23,76,51,56,72,1,,0.0
261,odol,往来,71,79,29,68,49,68,62,1,,0.0
262,Laura day romance,渚で会いましょう,71,93,38,68,68,61,63,1,2024,1.5
263,For Tracy Hyde,Floor,72,91,33,64,50,65,68,1,,0.0
264,Luby Sparks,Search + Destroy,71,90,22,66,53,70,64,1,,0.0
265,NOT WONK,Count,73,93,33,67,63,61,62,1,,0.0
266,No Buses,In Peace,72,81,32,77,59,67,55,1,2021,0.5
267,KOTORI,RED,70,90,36,75,66,69,68,1,2021,0.5
268,リーガルリリー,ハナヒカリ,79,88,30,69,59,56,72,1,2020,0.5
269,"Lucie,Too",Heart Wave,70,73,30,59,62,63,61,1,2020,0.5
270,teto,暖かい都会から,69,79,26,73,65,66,65,1,,0.0
271,PK shampoo,君の秘密になりたい,72,92,30,74,52,71,71,1,2022,1.0
272,時速36km,動物的な暮らし,74,78,22,75,66,60,58,1,,0.0
273,ズーカラデル,夢の恋人,72,75,33,63,63,67,58,1,,0.0
274,浪漫革命,今夜だけ,75,90,23,60,68,61,54,1,2022,1.0
275,BREIMEN,yonaki,79,81,29,76,65,72,56,1,2023,1.0
276,AAAMYYY,Over My Dead Body,70,77,35,70,62,70,61,1,,0.0
277,TAMTAM,Beautiful Bad Dream,66,91,39,58,67,56,69,1,2020,0.5
278,Emerald,step out,75,77,31,73,68,57,71,1,2022,1.0
279,Nulbarich,VOICE,71,93,34,67,65,74,66,1,,0.0
280,MONKEY MAJIK,Together,65,85,23,63,56,59,69,1,,0.0
281,ピチカート・ファイヴ,東京は夜の七時,75,90,42,73,51,72,66,1,,0.0
282,フリッパーズ・ギター,恋とマシンガン,78,79,39,62,56,68,53,1,,0.0
283,小沢健二,ぼくらが旅に出る理由,82,83,41,75,58,79,60,1,,0.0
284,Cornelius,THE SUN IS MY ENEMY,71,80,46,70,44,74,54,1,,0.0
285,カヒミ・カリィ,ハミングがきこえる,79,81,35,68,46,71,47,1,,0.0
286,ORIGINAL LOVE,接吻,71,92,55,62,51,66,55,1,,0.0
287,Fishmans,いかれたBaby,81,82,43,69,56,71,53,1,,0.0
288,サニーデイ・サービス,青春狂走曲,79,86,42,67,58,67,49,1,,0.0
289,UA,情熱,78,74,51,75,54,62,66,1,,0.0
290,Chara,やさしい気持ち,76,75,38,62,43,75,46,1,,0.0
291,My Little Lover,"Hello, Again ～昔からある場所～",76,75,51,62,39,79,64,1,,0.0
292,キリンジ,エイリアンズ,69,75,35,65,38,63,55,1,,0.0
293,くるり,東京,82,83,46,75,38,73,62,1,,0.0
294,フジファブリック,若者のすべて,72,89,38,67,44,80,60,1,,0.0
295,SUPERCAR,Strobolights,79,82,53,79,49,76,49,1,,0.0
296,NUMBER GIRL,透明少女,77,75,38,73,53,70,49,1,,0.0
297,ASIAN KUNG-FU GENERATION,君という花,76,78,39,73,45,77,64,1,,0.0
298,BUMP OF CHICKEN,車輪の唄,76,84,43,61,44,80,55,1,,0.0
299,ハナレグミ,家族の風景,77,90,49,74,47,71,66,1,,0.0
300,東京事変,群青日和,76,77,46,67,56,80,56,1,,0.0
301,SEAGULL SCREAMING KISS HER KISS HER,SENTIMENTAL JOURNEY,71,76,39,72,54,82,53,1,,0.0
302,サンボマスター,世界はそれを愛と呼ぶんだぜ,78,78,39,77,43,65,58,1,,0.0
303,レミオロメン,南風,74,90,43,77,46,64,65,1,,0.0
304,チャットモンチー,風吹けば恋,73,86,49,75,48,71,62,1,,0.0
305,GO!GO!7188,こいのうた,75,86,50,69,50,78,54,1,,0.0
306,GRAPEVINE,光について,73,89,42,62,39,79,59,1,,0.0
307,Cymbals,RALLY,77,81,35,61,44,74,57,1,,0.0
308,advantage Lucy,めまい,78,85,51,78,50,68,51,1,,0.0
309,Spangle call Lilli line,nano,74,76,47,69,41,81,63,1,,0.0
310,空気公団,夕暮れ電車に飛び乗れ,70,91,40,60,55,76,57,1,,0.0
311,ROUND TABLE,Let Me Be With You,69,75,51,78,44,65,57,1,,0.0
312,the pillows,Funny Bunny,76,75,49,66,54,72,65,1,,0.0
313,eastern youth,夏の日の午後,69,78,38,64,45,66,61,1,,0.0
314,bloodthirsty butchers,Jack Nicolson,76,92,49,77,43,62,59,1,,0.0
315,BEAT CRUSADERS,HIT IN THE USA,78,91,47,62,51,81,52,1,,0.0
316,ACIDMAN,赤橙,73,88,53,78,57,75,46,1,,0.0
317,ART-SCHOOL,SWAN SONG,73,84,37,72,46,66,52,1,,0.0
318,LOST IN TIME,群青,77,92,50,68,48,70,57,1,,0.0
319,Syrup16g,生活,81,86,46,80,42,64,59,1,,0.0
320,GOING UNDER GROUND,トワイライト,76,85,44,64,56,76,55,1,,0.0
321,フラワーカンパニーズ,深夜高速,77,81,38,70,52,78,64,1,,0.0
322,スネオヘアー,ワルツ,68,85,45,69,54,63,55,1,,0.0
323,曽我部恵一,ギター,76,93,42,70,55,63,52,1,,0.0
324,bonobos,THANK YOU FOR THE MUSIC,75,82,37,79,55,66,52,1,,0.0
325,SAKEROCK,慰安旅行,82,88,46,79,40,65,62,1,,0.0
326,ピチカート・ファイヴ,スウィート・ソウル・レヴュー,76,90,37,78,42,72,61,1,,0.0
327,フリッパーズ・ギター,カメラ! カメラ! カメラ!,78,85,38,79,47,63,57,1,,0.0
328,小沢健二,ラブリー,77,83,36,77,53,66,47,1,,0.0
329,Cornelius,STAR FRUITS SURF RIDER,79,76,42,70,48,80,50,1,,0.0
330,カヒミ・カリィ,Mike Alway's Diary,79,87,38,73,52,80,59,1,,0.0
331,ORIGINAL LOVE,朝日のあたる道 AS TIME GOES BY,79,88,42,74,55,82,61,1,,0.0
332,Fishmans,BABY BLUE,74,83,36,74,44,70,50,1,,0.0
333,サニーデイ・サービス,サマー・ソルジャー,79,76,41,77,40,69,50,1,,0.0
334,UA,甘い運命,73,74,51,79,39,81,52,1,,0.0
335,Chara,タイムマシーン,71,81,43,76,50,65,50,1,,0.0
336,My Little Lover,Man & Woman,77,81,35,63,51,73,46,1,,0.0
337,キリンジ,Drifter,79,92,40,63,49,67,49,1,,0.0
338,くるり,ばらの花,77,76,39,65,45,64,66,1,,0.0
339,フジファブリック,茜色の夕日,81,76,40,76,50,79,63,1,,0.0
340,SUPERCAR,Lucky,69,87,45,67,40,65,56,1,,0.0
341,NUMBER GIRL,OMOIDE IN MY HEAD,78,76,36,70,56,77,53,1,,0.0
342,ASIAN KUNG-FU GENERATION,夏の日、残像,73,93,42,68,58,64,55,1,,0.0
343,BUMP OF CHICKEN,ロストマン,74,90,54,60,50,81,49,1,,0.0
344,ハナレグミ,明日天気になれ,76,81,48,63,42,73,57,1,,0.0
345,東京事変,遭難,76,89,39,64,38,82,57,1,,0.0
346,椎名林檎,茎(STEM)～大名遊ビ編～,73,76,44,68,50,64,57,1,,0.0
347,サンボマスター,美しき人間の日々,71,91,49,66,52,76,59,1,,0.0
348,レミオロメン,電話,80,94,55,75,43,79,61,1,,0.0
349,チャットモンチー,染まるよ,76,81,37,68,41,69,50,1,,0.0
350,GO!GO!7188,浮舟,70,74,54,79,44,62,63,1,,0.0
351,GRAPEVINE,スロウ,78,82,41,71,47,66,47,1,,0.0
352,Cymbals,"Highway Star, Speed Star",79,92,51,64,55,68,63,1,,0.0
353,advantage Lucy,グッバイ,71,80,43,75,43,79,50,1,,0.0
354,Spangle call Lilli line,dreamer,78,78,39,67,58,72,51,1,,0.0
355,空気公団,旅をしませんか,72,82,49,66,51,79,63,1,,0.0
356,ROUND TABLE,Chocolate,78,89,43,61,39,74,63,1,,0.0
357,the pillows,ハイブリッド レインボウ,68,76,44,64,49,71,50,1,,0.0
358,eastern youth,夜明けの歌,69,76,44,61,40,72,46,1,,0.0
359,bloodthirsty butchers,Kocorono,71,87,47,69,45,74,58,1,,0.0
360,BEAT CRUSADERS,FEEL,76,92,40,77,48,70,59,1,,0.0
361,ACIDMAN,造花が笑う,82,83,42,75,53,77,49,1,,0.0
362,ART-SCHOOL,斜陽,81,91,36,74,57,71,56,1,,0.0
363,LOST IN TIME,列車,68,92,45,62,58,64,64,1,,0.0
364,Syrup16g,翌日,76,79,46,67,56,62,60,1,,0.0
365,GOING UNDER GROUND,ハートビート,79,78,35,78,47,73,62,1,,0.0
366,フラワーカンパニーズ,東京タワー,75,92,40,63,46,64,63,1,,0.0
367,スネオヘアー,逆様ブリッジ,80,78,50,71,46,78,48,1,,0.0
368,曽我部恵一,浜辺,73,74,38,63,57,79,47,1,,0.0
